ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	TURCHINID	INFOMAP
4291	Chamorro	Eight	gualguijai	ɡ u a l ɡ u i j a i	2593	831 868 997 554 831 868 1076 570 997 1076	1705	cham1312	1 7 7 5 1 7 7 6 7 7	AXYMBYYBYZ	KYALKYIJAI	6	6.K.C 6.Y.V 6.A.V 6.L.c 6.K.C 6.Y.V 6.I.V 6.J.C 6.A.V 6.I.V	2.0 1.5 1.3 1.1 1.75 1.3 1.3 1.75 1.3 0.8	0	4	5
4335	Palauan	Fifty	okejim	o k e j i m	1398	887 838 1089 570 1076 241	1717	pala1344	7 1 7 6 7 4	XBYBYN	UKEJIM	14	14.U.V 14.K.C 14.E.V 14.J.C 14.I.V 14.M.c	1.5 1.75 1.3 1.75 1.3 0.8	0	22	13
4336	Bare'e	Fifty	alima#mpuju	a l i m a _ m p u j u	1555	997 554 1076 241 997 1190 241 291 868 570 868	1717	pamo1252	7 5 7 4 7 9 4 1 7 6 7	XBYBZ_ACYBZ	ALIMA_MPYJY	3	3.A.V 3.L.C 3.I.V 3.M.C 3.A.V 3._._ 3.M.C 3.P.C 3.Y.V 3.J.C 3.Y.V	1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 1.3 1.75 0.8	0	18	11
4337	Iban	Fifty	limaʔ#puluh	l i m a ʔ _ p u l u h	1630	554 1076 241 997 409 1190 291 868 554 868 405	1717	iban1264	5 7 4 7 1 9 1 7 5 7 3	AXBYN_AXBYN	LIMAH_PYLYH	8	8.L.C 8.I.V 8.M.C 8.A.V 8.H.c 8._._ 8.P.C 8.Y.V 8.L.C 8.Y.V 8.H.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.75 1.3 0.8	0	20	11
4338	Berawan_Long_Terawan	Fifty	dimah#pulo	d i m a h _ p u l o	1700	145 1076 241 997 405 1190 291 868 554 887	1717	west2564	1 7 4 7 3 9 1 7 5 7	AXBYN_AXBZ	TIMAH_PYLU	4	4.T.C 4.I.V 4.M.C 4.A.V 4.H.c 4._._ 4.P.C 4.Y.V 4.L.C 4.U.V	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.75 0.8	0	19	11
4339	Tetum	Fifty	limanulu	l i m a n u l u	1931	554 1076 241 997 107 868 554 868	1717	tetu1246	5 7 4 7 4 7 5 7	AXBYBYBZ	LIMANYLY	16	16.L.C 16.I.V 16.M.C 16.A.V 16.N.C 16.Y.V 16.L.C 16.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	20	12
4340	Chamorro	Fifty	limijai#na#fulu	l i m i j a i _ n a _ f u l u	2599	554 1076 241 1076 570 997 1076 1190 107 997 1190 452 868 554 868	1717	cham1312	5 7 4 7 6 7 7 9 4 7 9 3 7 5 7	AXBYBYZ_AX_AXBZ	LIMIJAI_NA_BYLY	6	6.L.C 6.I.V 6.M.C 6.I.V 6.J.C 6.A.V 6.I.V 6._._ 6.N.C 6.A.V 6._._ 6.B.C 6.Y.V 6.L.C 6.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8 0.0 2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	20	11
4223	Merina_Malagasy	Five	dimj	d i m j	134	145 1076 241 570	493	plat1254	1 7 4 6	AXBC	TIMJ	11	11.T.C 11.I.V 11.M.C 11.J.C	2.0 1.5 1.75 1.5	0	24	16
4224	Thao	Five	riːmaʔ	r iː m a ʔ	134	153 1068 241 997 409	493	thao1240	5 7 4 7 1	AXBYN	RIMAH	17	17.R.C 17.I.V 17.M.C 17.A.V 17.H.c	2.0 1.5 1.75 1.3 0.8	0	25	14
4225	Thao	Five	hrima	h r i m a	134	405 153 1076 241 997	493	thao1240	3 5 7 4 7	ACXBZ	HRIMA	17	17.H.C 17.R.C 17.I.V 17.M.C 17.A.V	2.0 1.5 1.5 1.75 0.8	0	23	14
4226	Palauan	Five	kleim	k l e i m	134	838 554 1089 1076 241	493	pala1344	1 5 7 7 4	ACXYN	KLEIM	14	14.K.C 14.L.C 14.E.V 14.I.V 14.M.c	2.0 1.5 1.5 1.3 0.8	0	32	15
4227	Tunjung	Five	limaq	l i m a q	134	554 1076 241 997 757	493	tunj1244	5 7 4 7 1	AXBYN	LIMAK	19	19.L.C 19.I.V 19.M.C 19.A.V 19.K.c	2.0 1.5 1.75 1.3 0.8	0	25	14
4228	Bare'e	Five	alima	a l i m a	134	997 554 1076 241 997	493	pamo1252	7 5 7 4 7	XBYBZ	ALIMA	3	3.A.V 3.L.C 3.I.V 3.M.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	23	14
4229	Iban	Five	limaʔ	l i m a ʔ	134	554 1076 241 997 409	493	iban1264	5 7 4 7 1	AXBYN	LIMAH	8	8.L.C 8.I.V 8.M.C 8.A.V 8.H.c	2.0 1.5 1.75 1.3 0.8	0	25	14
4230	Berawan_Long_Terawan	Five	dimːah	d i mː a h	134	145 1076 244 997 405	493	west2564	1 7 4 7 3	AXBYN	TIMAH	4	4.T.C 4.I.V 4.M.C 4.A.V 4.H.c	2.0 1.5 1.75 1.3 0.8	0	24	14
4231	Moken	Five	lemaʔ	l e m a ʔ	134	554 1089 241 997 409	493	moke1242	5 7 4 7 1	AXBYN	LEMAH	12	12.L.C 12.E.V 12.M.C 12.A.V 12.H.c	2.0 1.5 1.75 1.3 0.8	0	25	14
4232	Hanunoo	Five	lima	l i m a	134	554 1076 241 997	493	hanu1241	5 7 4 7	AXBZ	LIMA	7	7.L.C 7.I.V 7.M.C 7.A.V	2.0 1.5 1.75 0.8	0	25	14
4233	Tetum	Five	lima	l i m a	134	554 1076 241 997	493	tetu1246	5 7 4 7	AXBZ	LIMA	16	16.L.C 16.I.V 16.M.C 16.A.V	2.0 1.5 1.75 0.8	0	25	14
4234	Tsou	Five	eimo	e i m o	134	1089 1076 241 887	493	tsou1248	7 7 4 7	XYBZ	EIMU	18	18.E.V 18.I.V 18.M.C 18.U.V	1.5 1.3 1.75 0.8	0	35	14
4235	Tsou	Five	rimo	r i m o	134	153 1076 241 887	493	tsou1248	5 7 4 7	AXBZ	RIMU	18	18.R.C 18.I.V 18.M.C 18.U.V	2.0 1.5 1.75 0.8	0	25	14
4236	Nias	Five	lima	l i m a	134	554 1076 241 997	493	nias1242	5 7 4 7	AXBZ	LIMA	13	13.L.C 13.I.V 13.M.C 13.A.V	2.0 1.5 1.75 0.8	0	25	14
4237	Central Amis	Five	lima	l i m a	134	554 1076 241 997	493	amis1246	5 7 4 7	AXBZ	LIMA	5	5.L.C 5.I.V 5.M.C 5.A.V	2.0 1.5 1.75 0.8	0	25	14
4238	Central Amis	Five	lima	l i m a	134	554 1076 241 997	493	amis1246	5 7 4 7	AXBZ	LIMA	5	5.L.C 5.I.V 5.M.C 5.A.V	2.0 1.5 1.75 0.8	1	25	14
4239	Chamorro	Five	lima	l i m a	134	554 1076 241 997	493	cham1312	5 7 4 7	AXBZ	LIMA	6	6.L.C 6.I.V 6.M.C 6.A.V	2.0 1.5 1.75 0.8	0	25	14
4200	Maloh	Four	ampat	a m p a t	358	997 241 291 997 120	1500	emba1238	7 4 1 7 1	XMBYN	AMPAT	10	10.A.V 10.M.c 10.P.C 10.A.V 10.T.c	1.5 1.1 1.75 1.3 0.8	0	43	17
4201	Merina_Malagasy	Four	éfatra	e f a t r a	358	1089 452 997 120 153 997	1500	plat1254	7 3 7 1 5 7	XBYBCZ	EBATRA	11	11.E.V 11.B.C 11.A.V 11.T.C 11.R.C 11.A.V	1.5 1.75 1.3 1.75 1.5 0.8	0	36	22
4202	Thao	Four	pat	p a t	358	291 997 120	1500	thao1240	1 7 1	AXN	PAT	17	17.P.C 17.A.V 17.T.c	2.0 1.5 0.8	0	47	17
4203	Palauan	Four	oaŋ	o a ŋ	-358	887 997 801	1500	pala1344	7 7 4	XYN	UAN	14	14.U.V 14.A.V 14.N.c	1.5 1.3 0.8	0	49	23
4204	Tunjung	Four	pat	p a t	358	291 997 120	1500	tunj1244	1 7 1	AXN	PAT	19	19.P.C 19.A.V 19.T.c	2.0 1.5 0.8	0	47	17
4205	Bare'e	Four	opo	o p o	358	887 291 887	1500	pamo1252	7 1 7	XBZ	UPU	3	3.U.V 3.P.C 3.U.V	1.5 1.75 0.8	0	36	18
4206	Bare'e	Four	pata	p a t a	358	291 997 120 997	1500	pamo1252	1 7 1 7	AXBZ	PATA	3	3.P.C 3.A.V 3.T.C 3.A.V	2.0 1.5 1.75 0.8	0	47	17
4207	Iban	Four	ampat	a m p a t	358	997 241 291 997 120	1500	iban1264	7 4 1 7 1	XMBYN	AMPAT	8	8.A.V 8.M.c 8.P.C 8.A.V 8.T.c	1.5 1.1 1.75 1.3 0.8	0	43	17
4208	Iban	Four	empat	e m p a t	358	1089 241 291 997 120	1500	iban1264	7 4 1 7 1	XMBYN	EMPAT	8	8.E.V 8.M.c 8.P.C 8.A.V 8.T.c	1.5 1.1 1.75 1.3 0.8	0	43	17
4209	Berawan_Long_Terawan	Four	paʔ	p a ʔ	358	291 997 409	1500	west2564	1 7 1	AXN	PAH	4	4.P.C 4.A.V 4.H.c	2.0 1.5 0.8	0	39	17
4210	Moken	Four	paːt	p aː t	358	291 1004 120	1500	moke1242	1 7 1	AXN	PAT	12	12.P.C 12.A.V 12.T.c	2.0 1.5 0.8	0	47	17
4211	Hanunoo	Four	upat	u p a t	358	868 291 997 120	1500	hanu1241	7 1 7 1	XBYN	YPAT	7	7.Y.V 7.P.C 7.A.V 7.T.c	1.5 1.75 1.3 0.8	0	36	17
4212	Wuna	Four	paʔ	p a ʔ	358	291 997 409	1500	muna1247	1 7 1	AXN	PAH	20	20.P.C 20.A.V 20.H.c	2.0 1.5 0.8	0	39	17
4213	Mailu	Four	tourai	t o u r a i	2098	120 887 868 153 997 1076	1500	mail1248	1 7 7 5 7 7	AXYBYZ	TUYRAI	9	9.T.C 9.U.V 9.Y.V 9.R.C 9.A.V 9.I.V	2.0 1.5 1.3 1.75 1.3 0.8	0	44	21
4214	Tsou	Four	sʉptʉ	s ʉ p t ʉ	358	89 968 291 120 968	1500	tsou1248	3 7 1 1 7	AXMBZ	SYPTY	18	18.S.C 18.Y.V 18.P.c 18.T.C 18.Y.V	2.0 1.5 1.1 1.75 0.8	0	40	24
4215	Nias	Four	õfa	õ f a	358	883 452 997	1500	nias1242	7 3 7	XBZ	UBA	13	13.U.V 13.B.C 13.A.V	1.5 1.75 0.8	0	36	18
4216	Central Amis	Four	sepat	s e p a t	358	89 1089 291 997 120	1500	amis1246	3 7 1 7 1	AXBYN	SEPAT	5	5.S.C 5.E.V 5.P.C 5.A.V 5.T.c	2.0 1.5 1.75 1.3 0.8	0	40	17
4217	Central Amis	Four	spat	s p a t	358	89 291 997 120	1500	amis1246	3 1 7 1	ACYN	SPAT	5	5.S.C 5.P.C 5.A.V 5.T.c	2.0 1.5 1.3 0.8	0	40	17
4218	Chamorro	Four	farfatai	f a r f a t a i	2589	452 997 153 452 997 120 997 1076	1500	cham1312	3 7 5 3 7 1 7 7	AXMBYBYZ	BARBATAI	6	6.B.C 6.A.V 6.R.c 6.B.C 6.A.V 6.T.C 6.A.V 6.I.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	0	41	20
4219	Chamorro	Four	fatfat	f a t f a t	2590	452 997 120 452 997 120	1500	cham1312	3 7 1 3 7 1	AXBCYN	BATBAT	6	6.B.C 6.A.V 6.T.C 6.B.C 6.A.V 6.T.c	2.0 1.5 1.75 1.5 1.3 0.8	0	47	17
4220	Banoni	Four	toatsi	t o a t s i	358	120 887 997 120 89 1076	1500	bann1247	1 7 7 1 3 7	AXYBCZ	TUATSI	2	2.T.C 2.U.V 2.A.V 2.T.C 2.S.C 2.I.V	2.0 1.5 1.3 1.75 1.5 0.8	0	37	19
4221	Singhi	Four	pat	p a t	358	291 997 120	1500	baub1235	1 7 1	AXN	PAT	15	15.P.C 15.A.V 15.T.c	2.0 1.5 0.8	0	47	17
4222	Banggi	Four	afad	a f a d	358	997 452 997 145	1500	bong1289	7 3 7 1	XBYN	ABAT	1	1.A.V 1.B.C 1.A.V 1.T.c	1.5 1.75 1.3 0.8	0	36	17
3788	Maloh	I	iak	i a k	7	1076 997 838	1209	emba1238	7 7 1	XYN	IAK	10	10.I.V 10.A.V 10.K.c	1.5 1.3 0.8	0	52	32
3789	Merina_Malagasy	I	iz	i z	7	1076 80	1209	plat1254	7 3	XN	IS	11	11.I.V 11.S.c	1.5 0.8	0	60	31
3790	Thao	I	jaku	j a k u	7	570 997 838 868	1209	thao1240	6 7 1 7	AXBZ	JAKY	17	17.J.C 17.A.V 17.K.C 17.Y.V	2.0 1.5 1.75 0.8	0	65	25
3791	Palauan	I	ŋak	ŋ a k	7	801 997 838	1209	pala1344	4 7 1	AXN	NAK	14	14.N.C 14.A.V 14.K.c	2.0 1.5 0.8	0	62	30
3792	Tunjung	I	ap	a p	1471	997 291	1209	tunj1244	7 1	XN	AP	19	19.A.V 19.P.c	1.5 0.8	0	67	27
3793	Bare'e	I	aku	a k u	7	997 838 868	1209	pamo1252	7 1 7	XBZ	AKY	3	3.A.V 3.K.C 3.Y.V	1.5 1.75 0.8	0	52	25
3794	Iban	I	aku	a k u	7	997 838 868	1209	iban1264	7 1 7	XBZ	AKY	8	8.A.V 8.K.C 8.Y.V	1.5 1.75 0.8	0	52	25
3795	Berawan_Long_Terawan	I	akːoh	a kː o h	7	997 832 887 405	1209	west2564	7 1 7 3	XBYN	AKUH	4	4.A.V 4.K.C 4.U.V 4.H.c	1.5 1.75 1.3 0.8	0	52	25
3796	Hanunoo	I	aku	a k u	7	997 838 868	1209	hanu1241	7 1 7	XBZ	AKY	7	7.A.V 7.K.C 7.Y.V	1.5 1.75 0.8	0	52	25
3797	Wuna	I	inodi	i n o d i	697	1076 107 887 145 1076	1209	muna1247	7 4 7 1 7	XBYBZ	INUTI	20	20.I.V 20.N.C 20.U.V 20.T.C 20.I.V	1.5 1.75 1.3 1.75 0.8	0	68	26
3798	Tetum	I	hau	h a u	7	405 997 868	1209	tetu1246	3 7 7	AXZ	HAY	16	16.H.C 16.A.V 16.Y.V	2.0 1.5 0.8	0	50	29
3799	Mailu	I	ia	i a	-7	1076 997	1209	mail1248	7 7	XZ	IA	9	9.I.V 9.A.V	1.5 0.8	0	50	33
3800	Tsou	I	ao	a o	7	997 887	1209	tsou1248	7 7	XZ	AU	18	18.A.V 18.U.V	1.5 0.8	0	50	28
3801	Nias	I	jaʔo	j a ʔ o	-7	570 997 409 887	1209	nias1242	6 7 1 7	AXBZ	JAHU	13	13.J.C 13.A.V 13.H.C 13.U.V	2.0 1.5 1.75 0.8	0	61	25
3802	Central Amis	I	aku	a k u	7	997 838 868	1209	amis1246	7 1 7	XBZ	AKY	5	5.A.V 5.K.C 5.Y.V	1.5 1.75 0.8	0	52	25
3803	Central Amis	I	kako	k a k o	7	838 997 838 887	1209	amis1246	1 7 1 7	AXBZ	KAKU	5	5.K.C 5.A.V 5.K.C 5.U.V	2.0 1.5 1.75 0.8	0	69	25
3804	Chamorro	I	guahu	ɡ u a h u	7	831 868 997 405 868	1209	cham1312	1 7 7 3 7	AXYBZ	KYAHY	6	6.K.C 6.Y.V 6.A.V 6.H.C 6.Y.V	2.0 1.5 1.3 1.75 0.8	0	55	34
3805	Banoni	I	na	n a	-7	107 997	1209	bann1247	4 7	AX	NA	2	2.N.C 2.A.V	2.0 1.5	0	51	36
3806	Singhi	I	aku	a k u	7	997 838 868	1209	baub1235	7 1 7	XBZ	AKY	15	15.A.V 15.K.C 15.Y.V	1.5 1.75 0.8	0	52	25
3807	Banggi	I	ou	o u	7	887 868	1209	bong1289	7 7	XZ	UY	1	1.U.V 1.Y.V	1.5 0.8	0	50	35
4292	Merina_Malagasy	Nine	sivj	s i v j	339	89 1076 451 570	1483	plat1254	3 7 3 6	AXBC	SIBJ	11	11.S.C 11.I.V 11.B.C 11.J.C	2.0 1.5 1.75 1.5	0	72	37
4293	Thao	Nine	tamaso	t a m a s o	695	120 997 241 997 89 887	1483	thao1240	1 7 4 7 3 7	AXBYBZ	TAMASU	17	17.T.C 17.A.V 17.M.C 17.A.V 17.S.C 17.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	80	45
4294	Palauan	Nine	klteiu	k l t e i u	1395	838 554 120 1089 1076 868	1483	pala1344	1 5 1 7 7 7	AXBYYZ	KLTEIY	14	14.K.C 14.L.V 14.T.C 14.E.V 14.I.V 14.Y.V	2.0 1.5 1.75 1.3 1.3 0.8	0	71	44
4295	Tunjung	Nine	tiant	t i a n t	1480	120 1076 997 107 120	1483	tunj1244	1 7 7 4 1	AXYLN	TIANT	19	19.T.C 19.I.V 19.A.V 19.N.c 19.T.c	2.0 1.5 1.3 1.1 0.8	0	82	46
4296	Bare'e	Nine	sasio	s a s i o	1552	89 997 89 1076 887	1483	pamo1252	3 7 3 7 7	AXBYZ	SASIU	3	3.S.C 3.A.V 3.S.C 3.I.V 3.U.V	2.0 1.5 1.75 1.3 0.8	0	70	40
4297	Iban	Nine	semilan	s e m i l a n	1627	89 1089 241 1076 554 997 107	1483	iban1264	3 7 4 7 5 7 4	AXBYBYN	SEMILAN	8	8.S.C 8.E.V 8.M.C 8.I.V 8.L.C 8.A.V 8.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	75	43
4298	Berawan_Long_Terawan	Nine	gelpej	ɡ e l p e j	1698	831 1089 554 291 1089 570	1483	west2564	1 7 5 1 7 6	AXMBYN	KELPEJ	4	4.K.C 4.E.V 4.L.c 4.P.C 4.E.V 4.J.c	2.0 1.5 1.1 1.75 1.3 0.8	0	71	41
4299	Moken	Nine	sewaːj	s e w aː j	339	89 1089 462 1004 570	1483	moke1242	3 7 6 7 6	AXBYN	SEWAJ	12	12.S.C 12.E.V 12.W.C 12.A.V 12.J.c	2.0 1.5 1.75 1.3 0.8	0	72	37
4300	Hanunoo	Nine	sijam	s i j a m	461	89 1076 570 997 241	1483	hanu1241	3 7 6 7 4	AXBYN	SIJAM	7	7.S.C 7.I.V 7.J.C 7.A.V 7.M.c	2.0 1.5 1.75 1.3 0.8	0	74	42
4301	Tetum	Nine	sia	s i a	1929	89 1076 997	1483	tetu1246	3 7 7	AXZ	SIA	16	16.S.C 16.I.V 16.A.V	2.0 1.5 0.8	1	79	37
4302	Tsou	Nine	sio	s i o	339	89 1076 887	1483	tsou1248	3 7 7	AXZ	SIU	18	18.S.C 18.I.V 18.U.V	2.0 1.5 0.8	0	79	37
4303	Tsou	Nine	sijo	s i j o	339	89 1076 570 887	1483	tsou1248	3 7 6 7	AXBZ	SIJU	18	18.S.C 18.I.V 18.J.C 18.U.V	2.0 1.5 1.75 0.8	0	74	37
4304	Tsou	Nine	cʰuga	cʰ u ɡ a	2225	604 868 831 997	1483	tsou1248	1 7 1 7	AXBZ	CYKA	18	18.C.C 18.Y.V 18.K.C 18.A.V	2.0 1.5 1.75 0.8	0	86	47
4305	Central Amis	Nine	siwa	s i w a	339	89 1076 462 997	1483	amis1246	3 7 6 7	AXBZ	SIWA	5	5.S.C 5.I.V 5.W.C 5.A.V	2.0 1.5 1.75 0.8	0	72	38
4306	Central Amis	Nine	siwa	s i w a	339	89 1076 462 997	1483	amis1246	3 7 6 7	AXBZ	SIWA	5	5.S.C 5.I.V 5.W.C 5.A.V	2.0 1.5 1.75 0.8	1	72	38
4307	Chamorro	Nine	sigua	s i ɡ u a	2594	89 1076 831 868 997	1483	cham1312	3 7 1 7 7	AXBYZ	SIKYA	6	6.S.C 6.I.V 6.K.C 6.Y.V 6.A.V	2.0 1.5 1.75 1.3 0.8	0	73	39
4308	Chamorro	Nine	siguijai	s i ɡ u i j a i	2595	89 1076 831 868 1076 570 997 1076	1483	cham1312	3 7 1 7 7 6 7 7	AXBYYBYZ	SIKYIJAI	6	6.S.C 6.I.V 6.K.C 6.Y.V 6.I.V 6.J.C 6.A.V 6.I.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 0.8	0	73	39
4133	Maloh	One	sera	s e r a	676	89 1089 153 997	1493	emba1238	3 7 5 7	AXBZ	SERA	10	10.S.C 10.E.V 10.R.C 10.A.V	2.0 1.5 1.75 0.8	0	96	51
4134	Maloh	One	insa	i n s a	676	1076 107 89 997	1493	emba1238	7 4 3 7	XMBZ	INSA	10	10.I.V 10.N.c 10.S.C 10.A.V	1.5 1.1 1.75 0.8	0	109	48
4135	Merina_Malagasy	One	isa	i s a	676	1076 89 997	1493	plat1254	7 3 7	XBZ	ISA	11	11.I.V 11.S.C 11.A.V	1.5 1.75 0.8	0	87	48
4136	Thao	One	tata	t a t a	-676	120 997 120 997	1493	thao1240	1 7 1 7	AXBZ	TATA	17	17.T.C 17.A.V 17.T.C 17.A.V	2.0 1.5 1.75 0.8	0	103	49
4137	Palauan	One	taŋ	t a ŋ	676	120 997 801	1493	pala1344	1 7 4	AXN	TAN	14	14.T.C 14.A.V 14.N.c	2.0 1.5 0.8	0	100	52
4138	Tunjung	One	caʔ	c a ʔ	676	606 997 409	1493	tunj1244	1 7 1	AXN	CAH	19	19.C.C 19.A.V 19.H.c	2.0 1.5 0.8	0	105	50
4139	Tunjung	One	bueq	b u e q	1475	257 868 1089 757	1493	tunj1244	1 7 7 1	AXYN	PYEK	19	19.P.C 19.Y.V 19.E.V 19.K.c	2.0 1.5 1.3 0.8	0	110	57
4140	Bare'e	One	isa	i s a	676	1076 89 997	1493	pamo1252	7 3 7	XBZ	ISA	3	3.I.V 3.S.C 3.A.V	1.5 1.75 0.8	0	87	48
4141	Iban	One	satu	s a t u	121	89 997 120 868	1493	iban1264	3 7 1 7	AXBZ	SATY	8	8.S.C 8.A.V 8.T.C 8.Y.V	2.0 1.5 1.75 0.8	0	94	49
4142	Berawan_Long_Terawan	One	acih	a c i h	676	997 606 1076 405	1493	west2564	7 1 7 3	XBYN	ACIH	4	4.A.V 4.C.C 4.I.V 4.H.c	1.5 1.75 1.3 0.8	0	90	50
4143	Moken	One	saʔ	s a ʔ	676	89 997 409	1493	moke1242	3 7 1	AXN	SAH	12	12.S.C 12.A.V 12.H.c	2.0 1.5 0.8	1	98	50
4144	Hanunoo	One	usa	u s a	676	868 89 997	1493	hanu1241	7 3 7	XBZ	YSA	7	7.Y.V 7.S.C 7.A.V	1.5 1.75 0.8	0	87	48
4145	Wuna	One	iseʔ	i s e ʔ	676	1076 89 1089 409	1493	muna1247	7 3 7 1	XBYN	ISEH	20	20.I.V 20.S.C 20.E.V 20.H.c	1.5 1.75 1.3 0.8	0	87	56
4146	Tetum	One	ida	i d a	-676	1076 145 997	1493	tetu1246	7 1 7	XBZ	ITA	16	16.I.V 16.T.C 16.A.V	1.5 1.75 0.8	0	102	54
4147	Mailu	One	omu	o m u	2095	887 241 868	1493	mail1248	7 4 7	XBZ	UMY	9	9.U.V 9.M.C 9.Y.V	1.5 1.75 0.8	1	95	60
4148	Tsou	One	cini	c i n i	712	606 1076 107 1076	1493	tsou1248	1 7 4 7	AXBZ	CINI	18	18.C.C 18.I.V 18.N.C 18.I.V	2.0 1.5 1.75 0.8	0	104	55
4149	Nias	One	sara	s a r a	676	89 997 153 997	1493	nias1242	3 7 5 7	AXBZ	SARA	13	13.S.C 13.A.V 13.R.C 13.A.V	2.0 1.5 1.75 0.8	0	96	51
